# Option 4. Preprocessing description: ordinal encoding only, imputing, no cutoff
age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
44,1.0,1.0,5.0,0,0,0,1,7,2,11,-1,0,0,1.4,93.918,-42.7,4.961,5228.1,0
41,9.0,2.0,5.0,0,1,0,1,8,2,1,-1,0,0,1.4,93.444,-36.1,4.968,5228.1,0
46,7.0,1.0,3.0,0,1,0,1,4,3,2,-1,0,0,-1.8,93.075,-47.1,1.445,5099.1,0
40,1.0,1.0,2.0,0,0,0,1,4,4,1,-1,0,0,-1.8,93.075,-47.1,1.365,5099.1,1
30,6.0,1.0,5.0,0,0,0,0,5,2,2,-1,0,0,1.1,93.994,-36.4,4.856,5191.0,0
34,9.0,1.0,6.0,0,0,0,1,7,4,1,-1,0,0,1.4,93.918,-42.7,4.963,5228.1,0
45,1.0,2.0,3.0,0,1,0,1,5,1,6,-1,1,-1,-1.8,92.893,-46.2,1.244,5099.1,0
50,3.0,1.0,0.0,0,0,0,1,8,2,3,-1,0,0,1.4,93.444,-36.1,4.965,5228.1,0
33,9.0,2.0,2.0,0,0,0,1,9,5,2,-1,0,0,-3.4,92.379,-29.8,0.741,5017.5,0
46,1.0,1.0,2.0,0,1,1,0,5,5,3,-1,0,0,1.1,93.994,-36.4,4.855,5191.0,0
38,9.0,2.0,6.0,0,0,0,0,6,1,6,-1,0,0,1.4,94.465,-41.8,4.865,5228.1,0
24,0.0,2.0,5.0,0,1,0,1,4,1,1,-1,0,0,-1.8,93.075,-47.1,1.405,5099.1,1
41,4.0,1.0,6.0,0,1,0,1,8,4,1,-1,0,0,1.4,93.444,-36.1,4.964,5228.1,0
57,5.0,0.0,6.0,0,0,0,0,7,2,2,-1,0,0,1.4,93.918,-42.7,4.955,5228.1,0
27,0.0,2.0,5.0,0,1,1,0,4,4,3,-1,0,0,-1.8,93.075,-47.1,1.365,5099.1,0
55,9.0,1.0,2.0,0,0,0,1,5,1,1,-1,0,0,-1.8,92.893,-46.2,1.354,5099.1,0
56,5.0,1.0,1.0,0,1,0,0,5,3,3,-1,0,0,1.1,93.994,-36.4,4.857,5191.0,0
51,0.0,1.0,6.0,0,1,1,1,11,5,3,-1,1,-1,-0.1,93.2,-42.0,4.021,5195.8,0
30,0.0,2.0,6.0,0,1,0,1,7,2,3,-1,0,0,1.4,93.918,-42.7,4.961,5228.1,0
36,7.0,1.0,3.0,0,1,0,0,5,4,1,-1,0,0,1.1,93.994,-36.4,4.86,5191.0,0
32,6.0,2.0,3.0,0,1,0,1,11,1,1,-1,1,-1,-0.1,93.2,-42.0,4.191,5195.8,0
32,0.0,1.0,6.0,0,1,0,0,5,4,1,-1,0,0,1.1,93.994,-36.4,4.86,5191.0,0
41,9.0,1.0,5.0,0,0,0,0,5,1,1,-1,0,0,1.1,93.994,-36.4,4.857,5191.0,0
44,1.0,1.0,1.0,0,0,0,1,11,3,3,-1,0,0,-0.1,93.2,-42.0,4.12,5195.8,0
32,9.0,1.0,6.0,0,1,0,1,11,3,1,-1,0,0,-0.1,93.2,-42.0,4.12,5195.8,0
49,0.0,0.0,5.0,0,1,1,1,8,1,1,-1,0,0,1.4,93.444,-36.1,4.97,5228.1,0
66,5.0,1.0,0.0,0,1,0,1,7,1,7,-1,0,0,-1.7,94.215,-40.3,0.87,4991.6,1
47,0.0,1.0,6.0,0,1,1,1,12,1,5,-1,0,0,-3.0,92.713,-33.0,0.717,5023.5,0
43,9.0,2.0,5.0,0,1,0,1,7,2,1,-1,0,0,1.4,93.918,-42.7,4.962,5228.1,0
46,9.0,1.0,5.0,0,1,1,1,9,4,2,-1,1,-1,-3.4,92.379,-29.8,0.809,5017.5,0
55,5.0,1.0,2.0,0,1,0,1,7,4,8,-1,0,0,1.4,93.918,-42.7,4.968,5228.1,0
44,0.0,1.0,6.0,0,0,0,1,8,3,2,4,1,1,-2.9,92.201,-31.4,0.879,5076.2,0
56,1.0,1.0,2.0,0,1,0,1,11,4,1,-1,1,-1,-0.1,93.2,-42.0,4.076,5195.8,1
38,1.0,2.0,1.0,0,1,1,1,5,3,1,-1,1,-1,-1.8,92.893,-46.2,1.281,5099.1,0
29,6.0,2.0,6.0,0,0,1,0,11,1,1,-1,0,0,-0.1,93.2,-42.0,4.191,5195.8,0
42,2.0,1.0,6.0,0,1,0,1,7,4,4,-1,0,0,1.4,93.918,-42.7,4.962,5228.1,1
34,0.0,1.0,6.0,0,1,0,0,6,1,2,-1,0,0,1.4,94.465,-41.8,4.961,5228.1,0
33,1.0,1.0,2.0,0,1,0,0,5,4,5,-1,0,0,-1.8,92.893,-46.2,1.266,5099.1,0
54,0.0,0.0,3.0,0,0,1,1,11,5,1,-1,0,0,-0.1,93.2,-42.0,4.021,5195.8,0
44,9.0,1.0,5.0,0,1,0,1,4,3,1,-1,1,-1,-1.8,93.075,-47.1,1.415,5099.1,0
43,0.0,2.0,6.0,0,1,0,1,8,3,5,-1,0,0,1.4,93.444,-36.1,4.964,5228.1,0
59,5.0,0.0,6.0,0,0,0,1,7,2,2,-1,0,0,1.4,93.918,-42.7,4.961,5228.1,0
32,9.0,1.0,5.0,0,1,0,1,5,1,1,-1,0,0,-1.8,92.893,-46.2,1.299,5099.1,0
41,0.0,0.0,6.0,0,0,0,1,4,2,4,-1,0,0,-1.8,93.075,-47.1,1.423,5099.1,0
39,7.0,2.0,2.0,0,1,0,1,4,1,2,-1,0,0,-1.8,93.075,-47.1,1.405,5099.1,0
30,9.0,2.0,6.0,0,0,1,1,11,4,4,-1,0,0,-0.1,93.2,-42.0,4.076,5195.8,0
30,4.0,1.0,6.0,0,1,0,0,3,1,7,-1,0,0,-1.8,92.843,-50.0,1.811,5099.1,0
34,1.0,2.0,2.0,0,0,0,1,5,1,2,-1,1,-1,-1.8,92.893,-46.2,1.299,5099.1,0
31,9.0,1.0,6.0,0,1,1,1,8,3,2,-1,0,0,1.4,93.444,-36.1,4.964,5228.1,0
33,1.0,1.0,1.0,0,0,0,0,5,3,2,-1,0,0,1.1,93.994,-36.4,4.858,5191.0,0
31,0.0,2.0,6.0,0,0,0,1,11,4,2,-1,0,0,-0.1,93.2,-42.0,4.076,5195.8,0
30,9.0,2.0,5.0,0,0,0,1,9,2,1,-1,5,-1,-1.1,94.199,-37.5,0.877,4963.6,0
41,9.0,1.0,5.0,0,0,0,0,5,1,3,-1,0,0,1.1,93.994,-36.4,4.857,5191.0,0
59,1.0,1.0,0.0,0,1,0,1,8,3,2,-1,0,0,1.4,93.444,-36.1,4.965,5228.1,0
40,0.0,0.0,6.0,0,0,0,1,8,1,1,-1,0,0,1.4,93.444,-36.1,4.965,5228.1,0
47,9.0,1.0,5.0,0,1,0,0,5,2,3,-1,0,0,1.1,93.994,-36.4,4.857,5191.0,0
45,0.0,1.0,3.0,0,0,0,0,5,3,2,-1,0,0,1.1,93.994,-36.4,4.857,5191.0,0
36,4.0,2.0,3.0,0,1,0,1,4,1,1,-1,0,0,-1.8,93.075,-47.1,1.405,5099.1,0
53,0.0,1.0,6.0,0,0,1,1,6,1,1,-1,0,0,-2.9,92.963,-40.8,1.215,5076.2,0
48,1.0,1.0,2.0,0,1,0,0,5,3,6,-1,0,0,1.1,93.994,-36.4,4.858,5191.0,0
42,9.0,1.0,5.0,0,1,1,1,8,1,2,-1,0,0,1.4,93.444,-36.1,4.963,5228.1,0
37,9.0,1.0,6.0,0,0,0,1,11,4,1,-1,0,0,-0.1,93.2,-42.0,4.076,5195.8,0
74,5.0,0.0,0.0,0,1,0,1,10,1,2,-1,0,0,-1.1,94.601,-49.5,1.0,4963.6,0
45,0.0,1.0,6.0,0,0,0,1,7,2,4,-1,0,0,1.4,93.918,-42.7,4.961,5228.1,0
53,9.0,1.0,5.0,0,0,0,0,6,5,6,-1,0,0,1.4,94.465,-41.8,4.959,5228.1,0
46,1.0,1.0,0.0,0,0,1,0,5,5,8,-1,0,0,1.1,93.994,-36.4,4.864,5191.0,0
38,9.0,0.0,3.0,0,0,0,1,8,1,2,-1,0,0,1.4,93.444,-36.1,4.965,5228.1,0
31,0.0,2.0,6.0,0,1,0,1,7,2,1,-1,0,0,1.4,93.918,-42.7,4.961,5228.1,0
54,4.0,0.0,6.0,0,1,0,0,5,2,3,-1,0,0,1.1,93.994,-36.4,4.856,5191.0,0
40,7.0,1.0,3.0,0,1,0,0,6,3,6,-1,0,0,1.4,94.465,-41.8,4.959,5228.1,0
37,9.0,1.0,5.0,0,1,0,1,7,5,5,-1,0,0,1.4,93.918,-42.7,4.957,5228.1,0
24,4.0,2.0,6.0,0,0,1,0,11,1,1,-1,0,0,-0.1,93.2,-42.0,4.406,5195.8,0
29,0.0,1.0,3.0,0,1,0,1,9,4,3,-1,0,0,-1.1,94.199,-37.5,0.879,4963.6,0
29,1.0,1.0,3.0,0,1,0,1,5,3,1,-1,0,0,-1.8,92.893,-46.2,1.281,5099.1,0
40,1.0,1.0,2.0,0,1,0,1,5,2,3,-1,0,0,-1.8,92.893,-46.2,1.344,5099.1,0
46,0.0,1.0,3.0,0,1,0,0,6,1,2,-1,0,0,1.4,94.465,-41.8,4.96,5228.1,0
47,7.0,1.0,3.0,0,1,1,0,5,1,6,-1,0,0,1.1,93.994,-36.4,4.858,5191.0,0
25,1.0,1.0,0.0,0,0,1,0,7,4,2,-1,0,0,1.4,93.918,-42.7,4.958,5228.1,1
41,3.0,1.0,0.0,0,0,0,1,8,4,1,-1,0,0,1.4,93.444,-36.1,4.964,5228.1,0
50,0.0,1.0,3.0,0,0,0,1,7,3,3,-1,0,0,-2.9,92.469,-33.6,1.085,5076.2,1
25,8.0,2.0,3.0,0,0,0,0,4,3,1,-1,0,0,-1.8,93.075,-47.1,1.415,5099.1,1
47,0.0,1.0,6.0,0,0,1,0,5,2,2,-1,0,0,1.1,93.994,-36.4,4.856,5191.0,0
59,3.0,1.0,1.0,0,0,0,0,6,5,3,-1,0,0,1.4,94.465,-41.8,4.947,5228.1,0
34,1.0,2.0,0.0,0,0,0,1,7,3,2,-1,0,0,1.4,93.918,-42.7,4.963,5228.1,0
48,1.0,1.0,2.0,0,0,0,1,8,1,3,-1,0,0,1.4,93.444,-36.1,4.963,5228.1,1
37,2.0,1.0,6.0,0,0,1,0,5,5,2,-1,0,0,1.1,93.994,-36.4,4.857,5191.0,0
41,9.0,0.0,0.0,0,1,0,0,6,5,2,-1,0,0,1.4,94.465,-41.8,4.967,5228.1,0
53,4.0,1.0,6.0,0,0,1,0,7,2,3,-1,0,0,1.4,93.918,-42.7,4.955,5228.1,0
49,1.0,1.0,2.0,0,0,0,1,5,4,2,-1,0,0,-1.8,92.893,-46.2,1.327,5099.1,0
24,0.0,2.0,3.0,0,1,1,0,7,4,1,-1,0,0,1.4,93.918,-42.7,4.966,5228.1,0
30,9.0,2.0,6.0,0,1,0,1,8,4,2,-1,0,0,1.4,93.444,-36.1,4.968,5228.1,0
44,9.0,0.0,5.0,0,0,0,0,5,3,1,-1,0,0,1.1,93.994,-36.4,4.858,5191.0,0
41,7.0,1.0,3.0,0,0,0,0,5,5,2,-1,0,0,1.1,93.994,-36.4,4.857,5191.0,0
36,9.0,1.0,5.0,0,0,0,0,6,5,3,-1,0,0,1.4,94.465,-41.8,4.967,5228.1,0
36,4.0,1.0,6.0,0,0,1,1,5,1,4,-1,0,0,-1.8,92.893,-46.2,1.354,5099.1,0
30,0.0,2.0,3.0,0,1,0,1,5,1,1,-1,0,0,-1.8,92.893,-46.2,1.244,5099.1,0
51,0.0,0.0,2.0,0,1,0,0,5,1,1,-1,0,0,1.1,93.994,-36.4,4.857,5191.0,0
34,0.0,1.0,6.0,0,1,1,1,8,2,3,-1,0,0,1.4,93.444,-36.1,4.963,5228.1,0
68,5.0,2.0,6.0,0,0,0,1,9,1,2,-1,1,-1,-3.4,92.379,-29.8,0.739,5017.5,0
46,1.0,1.0,1.0,0,0,0,0,6,4,10,-1,0,0,1.4,94.465,-41.8,4.961,5228.1,0
29,7.0,2.0,3.0,0,1,0,0,5,4,1,-1,0,0,-1.8,93.876,-40.0,0.699,5008.7,1
43,4.0,1.0,6.0,0,1,0,1,11,4,4,-1,1,-1,-0.1,93.2,-42.0,4.076,5195.8,0
39,0.0,1.0,3.0,0,0,0,1,5,4,1,-1,0,0,-1.8,92.893,-46.2,1.266,5099.1,0
32,1.0,2.0,5.0,0,0,0,1,5,2,6,-1,1,-1,-1.8,92.893,-46.2,1.291,5099.1,0
42,2.0,1.0,2.0,0,1,0,1,4,4,3,-1,0,0,-1.8,93.075,-47.1,1.41,5099.1,0
53,6.0,2.0,6.0,0,0,1,1,11,4,2,-1,1,-1,-0.1,93.2,-42.0,4.076,5195.8,0
28,9.0,0.0,5.0,0,1,0,0,5,4,1,-1,0,0,1.1,93.994,-36.4,4.86,5191.0,0
33,10.0,1.0,2.0,0,1,0,0,11,3,1,-1,0,0,-0.1,93.2,-42.0,4.12,5195.8,0
46,1.0,1.0,0.0,0,0,0,1,8,1,3,-1,0,0,1.4,93.444,-36.1,4.965,5228.1,0
33,0.0,1.0,6.0,0,1,0,1,8,5,10,-1,0,0,1.4,93.444,-36.1,4.963,5228.1,0
36,0.0,2.0,6.0,0,1,0,1,8,4,3,-1,0,0,1.4,93.444,-36.1,4.962,5228.1,0
35,7.0,1.0,2.0,0,0,0,1,4,4,1,-1,0,0,-1.8,93.075,-47.1,1.435,5099.1,0
41,2.0,1.0,0.0,0,1,0,0,6,3,2,-1,0,0,1.4,94.465,-41.8,4.864,5228.1,0
34,0.0,1.0,6.0,0,0,0,0,7,3,4,-1,0,0,1.4,93.918,-42.7,4.963,5228.1,0
31,2.0,0.0,6.0,0,0,0,1,7,5,7,-1,0,0,1.4,93.918,-42.7,4.963,5228.1,0
45,1.0,2.0,1.0,0,1,0,0,5,3,5,-1,0,0,1.1,93.994,-36.4,4.856,5191.0,0
47,6.0,1.0,0.0,0,1,0,0,6,2,8,-1,0,0,1.4,94.465,-41.8,4.864,5228.1,0
42,0.0,2.0,6.0,0,1,0,0,6,3,2,-1,0,0,-2.9,92.963,-40.8,1.26,5076.2,0
51,9.0,1.0,6.0,0,1,0,1,6,2,1,10,1,1,-1.7,94.055,-39.8,0.702,4991.6,1
48,7.0,0.0,3.0,0,0,1,1,7,1,4,-1,0,0,1.4,93.918,-42.7,4.96,5228.1,0
27,0.0,2.0,3.0,0,0,0,1,7,2,1,-1,0,0,1.4,93.918,-42.7,4.962,5228.1,0
69,0.0,1.0,6.0,0,1,1,1,9,2,2,3,1,1,-3.4,92.379,-29.8,0.77,5017.5,0
28,6.0,2.0,6.0,0,1,0,0,3,3,1,-1,1,-1,-1.8,93.369,-34.8,0.651,5008.7,0
28,7.0,1.0,3.0,0,0,0,1,7,2,1,-1,0,0,1.4,93.918,-42.7,4.962,5228.1,0
39,4.0,1.0,6.0,0,0,0,1,8,4,6,-1,0,0,1.4,93.444,-36.1,4.968,5228.1,1
52,6.0,2.0,5.0,0,0,1,1,11,4,1,-1,0,0,-0.1,93.2,-42.0,4.076,5195.8,0
55,9.0,1.0,6.0,0,1,0,1,8,3,2,-1,0,0,1.4,93.444,-36.1,4.965,5228.1,0
50,7.0,2.0,3.0,0,1,0,1,7,3,2,-1,0,0,1.4,93.918,-42.7,4.963,5228.1,0
40,1.0,1.0,0.0,0,1,1,1,11,4,1,-1,0,0,-0.1,93.2,-42.0,4.076,5195.8,0
50,1.0,1.0,1.0,0,1,0,0,5,1,4,3,2,1,-1.8,92.893,-46.2,1.354,5099.1,1
35,1.0,1.0,5.0,0,1,0,1,11,1,1,-1,0,0,-0.1,93.2,-42.0,4.191,5195.8,0
31,1.0,1.0,2.0,0,1,0,0,6,2,1,-1,0,0,1.4,94.465,-41.8,4.864,5228.1,0
35,0.0,2.0,6.0,0,0,1,0,5,3,3,-1,0,0,1.1,93.994,-36.4,4.857,5191.0,0
35,1.0,1.0,1.0,0,1,0,1,5,2,1,-1,0,0,-1.8,92.893,-46.2,1.344,5099.1,0
48,0.0,0.0,6.0,0,0,0,1,5,2,9,-1,0,0,-1.8,92.893,-46.2,1.291,5099.1,0
43,0.0,1.0,3.0,0,1,1,1,7,1,2,-1,0,0,1.4,93.918,-42.7,4.962,5228.1,0
44,7.0,1.0,3.0,0,1,0,1,4,5,1,-1,2,-1,-1.8,93.075,-47.1,1.479,5099.1,0
46,0.0,1.0,6.0,0,1,0,1,8,2,2,-1,0,0,1.4,93.444,-36.1,4.965,5228.1,0
33,6.0,2.0,3.0,0,1,0,1,5,2,1,-1,1,-1,-1.8,92.893,-46.2,1.291,5099.1,0
38,1.0,1.0,1.0,0,0,0,0,6,2,1,-1,0,0,1.4,94.465,-41.8,4.864,5228.1,0
51,6.0,2.0,2.0,0,1,0,1,11,4,1,-1,0,0,-3.4,92.649,-30.1,0.714,5017.5,1
48,7.0,1.0,0.0,0,1,0,1,8,2,1,-1,0,0,1.4,93.444,-36.1,4.965,5228.1,0
46,4.0,1.0,6.0,0,0,1,1,7,5,2,-1,0,0,1.4,93.918,-42.7,4.962,5228.1,0
78,5.0,1.0,0.0,0,0,1,1,8,3,1,-1,0,0,-2.9,92.201,-31.4,0.834,5076.2,0
34,9.0,0.0,5.0,0,0,0,0,8,5,1,-1,0,0,1.4,93.444,-36.1,4.964,5228.1,0
46,4.0,1.0,6.0,0,0,0,1,5,1,2,-1,0,0,-1.8,92.893,-46.2,1.299,5099.1,0
46,0.0,1.0,3.0,0,1,0,0,6,1,6,-1,0,0,1.4,94.465,-41.8,4.961,5228.1,0
54,9.0,0.0,3.0,0,0,0,1,8,1,4,-1,0,0,1.4,93.444,-36.1,4.97,5228.1,0
31,0.0,2.0,6.0,0,1,0,1,4,1,3,-1,0,0,-1.8,93.075,-47.1,1.405,5099.1,0
26,8.0,2.0,2.0,0,0,1,1,3,1,4,-1,0,0,-1.8,92.843,-50.0,1.811,5099.1,0
55,1.0,1.0,0.0,0,1,0,1,8,1,1,-1,0,0,1.4,93.444,-36.1,4.97,5228.1,0
33,9.0,1.0,5.0,0,0,1,1,4,5,1,-1,1,-1,-1.8,93.075,-47.1,1.405,5099.1,1
30,7.0,2.0,3.0,0,1,0,1,7,5,2,-1,0,0,1.4,93.918,-42.7,4.963,5228.1,0
36,7.0,1.0,3.0,0,0,0,0,7,3,2,-1,0,0,-1.7,94.215,-40.3,0.802,4991.6,1
30,1.0,2.0,3.0,0,1,0,1,7,2,6,-1,0,0,1.4,93.918,-42.7,4.961,5228.1,0
36,1.0,2.0,0.0,0,0,0,0,5,5,1,-1,0,0,1.1,93.994,-36.4,4.855,5191.0,0
35,0.0,2.0,6.0,0,1,0,1,7,5,2,-1,0,0,1.4,93.918,-42.7,4.963,5228.1,0
42,9.0,2.0,5.0,0,1,0,1,7,2,6,-1,0,0,1.4,93.918,-42.7,4.961,5228.1,0
45,0.0,1.0,3.0,0,1,0,1,8,5,2,-1,0,0,1.4,93.444,-36.1,4.963,5228.1,0
49,1.0,1.0,2.0,0,1,0,1,11,3,1,-1,1,-1,-0.1,93.2,-42.0,4.12,5195.8,0
26,9.0,2.0,5.0,0,0,0,0,5,4,1,-1,0,0,1.1,93.994,-36.4,4.86,5191.0,0
33,4.0,2.0,6.0,0,1,1,0,5,5,2,-1,0,0,1.1,93.994,-36.4,4.855,5191.0,0
38,0.0,1.0,3.0,0,1,0,1,11,1,1,-1,1,-1,-3.4,92.649,-30.1,0.714,5017.5,0
33,1.0,1.0,1.0,0,0,0,0,5,1,1,-1,0,0,-1.8,93.876,-40.0,0.682,5008.7,0
41,9.0,1.0,3.0,0,0,0,0,5,2,1,-1,0,0,1.1,93.994,-36.4,4.857,5191.0,0
34,9.0,2.0,6.0,0,1,0,1,8,2,3,-1,0,0,1.4,93.444,-36.1,4.963,5228.1,0
49,0.0,1.0,6.0,0,1,0,1,8,4,1,-1,0,0,1.4,93.444,-36.1,4.963,5228.1,0
51,9.0,1.0,5.0,0,0,1,0,5,4,1,-1,0,0,1.1,93.994,-36.4,4.855,5191.0,0
52,1.0,1.0,2.0,0,0,0,1,8,2,3,-1,0,0,1.4,93.444,-36.1,4.963,5228.1,0
31,10.0,2.0,0.0,0,1,0,0,11,5,9,-1,0,0,-0.1,93.2,-42.0,4.021,5195.8,0
39,0.0,2.0,6.0,0,0,1,0,5,5,4,-1,0,0,1.1,93.994,-36.4,4.857,5191.0,0
47,0.0,1.0,6.0,0,1,1,1,6,2,1,-1,0,0,-2.9,92.963,-40.8,1.206,5076.2,0
26,7.0,2.0,2.0,0,1,0,1,7,3,2,-1,0,0,1.4,93.918,-42.7,4.957,5228.1,0
39,9.0,2.0,5.0,0,0,0,1,5,2,1,-1,1,-1,-1.8,92.893,-46.2,1.291,5099.1,0
32,9.0,2.0,3.0,0,1,0,0,5,3,1,-1,0,0,1.1,93.994,-36.4,4.857,5191.0,0
37,1.0,1.0,2.0,0,0,0,1,5,3,7,-1,0,0,-1.8,92.893,-46.2,1.27,5099.1,0
36,7.0,1.0,1.0,0,1,0,1,5,1,6,-1,1,-1,-1.8,92.893,-46.2,1.299,5099.1,0
38,9.0,2.0,6.0,0,0,0,1,11,2,1,-1,1,-1,-0.1,93.2,-42.0,4.153,5195.8,0
38,0.0,2.0,6.0,0,1,0,1,4,1,1,-1,1,-1,-1.8,93.075,-47.1,1.405,5099.1,0
31,7.0,1.0,3.0,0,0,0,0,5,2,1,-1,0,0,1.1,93.994,-36.4,4.857,5191.0,0
52,0.0,1.0,3.0,0,1,0,1,5,1,1,-1,0,0,-1.8,92.893,-46.2,1.244,5099.1,0
51,2.0,0.0,6.0,0,0,0,0,6,1,2,-1,0,0,1.4,94.465,-41.8,4.961,5228.1,0
46,7.0,1.0,3.0,0,0,0,1,7,4,1,-1,0,0,1.4,93.918,-42.7,4.968,5228.1,0
27,9.0,2.0,5.0,0,0,0,1,5,4,1,-1,0,0,-1.8,92.893,-46.2,1.266,5099.1,0
58,9.0,0.0,2.0,0,0,0,0,6,5,3,-1,0,0,1.4,94.465,-41.8,4.967,5228.1,0
39,1.0,1.0,2.0,0,0,0,1,7,2,2,-1,0,0,1.4,93.918,-42.7,4.961,5228.1,0
52,9.0,1.0,3.0,0,1,0,0,6,3,1,-1,0,0,1.4,94.465,-41.8,4.959,5228.1,0
36,1.0,2.0,2.0,0,0,1,0,5,4,3,-1,0,0,1.1,93.994,-36.4,4.86,5191.0,0
36,0.0,0.0,3.0,0,1,0,1,5,2,5,-1,0,0,-1.8,92.893,-46.2,1.344,5099.1,0
34,9.0,2.0,5.0,0,0,0,1,5,1,1,-1,1,-1,-1.8,92.893,-46.2,1.299,5099.1,0
32,0.0,1.0,6.0,0,1,1,1,11,4,1,-1,0,0,-0.1,93.2,-42.0,4.076,5195.8,0
48,1.0,1.0,3.0,0,0,0,0,5,3,1,-1,0,0,1.1,93.994,-36.4,4.856,5191.0,0
37,9.0,1.0,6.0,0,0,0,0,5,2,3,-1,0,0,1.1,93.994,-36.4,4.857,5191.0,0
49,0.0,1.0,3.0,0,0,0,1,8,4,2,-1,0,0,1.4,93.444,-36.1,4.964,5228.1,0
42,10.0,1.0,3.0,0,1,1,0,5,1,1,-1,0,0,1.1,93.994,-36.4,4.857,5191.0,0
34,9.0,2.0,5.0,0,1,1,0,8,1,1,-1,0,0,1.4,93.444,-36.1,4.97,5228.1,0
52,6.0,1.0,6.0,0,1,1,0,6,1,1,-1,0,0,1.4,94.465,-41.8,4.961,5228.1,0
26,9.0,2.0,6.0,0,1,0,1,5,4,4,2,1,1,-1.8,92.893,-46.2,1.27,5099.1,1
44,9.0,2.0,5.0,0,1,1,1,7,4,1,-1,0,0,1.4,93.918,-42.7,4.958,5228.1,0
53,1.0,1.0,0.0,0,1,1,0,7,5,7,-1,0,0,1.4,93.918,-42.7,4.957,5228.1,0
32,1.0,2.0,1.0,0,1,0,0,5,5,6,-1,0,0,-1.8,92.893,-46.2,1.25,5099.1,0
42,4.0,1.0,6.0,0,0,0,1,4,5,2,-1,0,0,-1.8,93.075,-47.1,1.405,5099.1,0
34,0.0,1.0,3.0,0,0,0,0,6,3,1,-1,0,0,1.4,94.465,-41.8,4.864,5228.1,1
29,1.0,1.0,5.0,0,0,0,0,5,3,5,-1,0,0,1.1,93.994,-36.4,4.857,5191.0,0
34,4.0,1.0,6.0,0,1,0,0,5,5,3,-1,1,-1,-1.8,92.893,-46.2,1.313,5099.1,0
52,7.0,1.0,3.0,0,1,0,1,5,5,1,-1,1,-1,-1.8,92.893,-46.2,1.313,5099.1,0
39,9.0,1.0,5.0,0,1,0,0,5,3,2,-1,0,0,1.1,93.994,-36.4,4.858,5191.0,0
34,0.0,0.0,5.0,0,1,1,1,5,2,2,-1,0,0,-1.8,92.893,-46.2,1.291,5099.1,0
41,4.0,1.0,6.0,0,1,0,1,4,5,1,-1,0,0,-1.8,93.075,-47.1,1.405,5099.1,0
36,9.0,1.0,6.0,0,0,0,0,5,3,2,-1,0,0,1.1,93.994,-36.4,4.857,5191.0,0
